,0
7/16/20,80038
7/17/20,80064
7/18/20,80092
7/19/20,80137
7/20/20,80162
7/21/20,80204
7/22/20,80244
7/23/20,80297
7/24/20,80341
7/25/20,80409
7/26/20,80459
7/27/20,80466
7/28/20,80517
7/29/20,80594
7/30/20,80680
7/31/20,80787
8/1/20,80907
8/2/20,81018
8/3/20,81113
8/4/20,81234
8/5/20,81417
8/6/20,81592
8/7/20,81788
8/8/20,81969
8/9/20,82125
8/10/20,82247
8/11/20,82440
8/12/20,82633
8/13/20,82804
8/14/20,82956
8/15/20,83108
8/16/20,83200
8/17/20,83283
8/18/20,83408
8/19/20,83566
8/20/20,83663
8/21/20,83793
8/22/20,83924
8/23/20,83988
8/24/20,84058
8/25/20,84168
8/26/20,84251
8/27/20,84335
8/28/20,84419
8/29/20,84484
8/30/20,84546
8/31/20,84594
9/1/20,84652
9/2/20,84695
9/3/20,84737
9/4/20,84782
9/5/20,84837
9/6/20,84873
9/7/20,84900
9/8/20,84932
9/9/20,84957
9/10/20,85005
9/11/20,85025
9/12/20,85054
9/13/20,85086
9/14/20,85101
9/15/20,85129
9/16/20,85155
9/17/20,85181
9/18/20,85204
9/19/20,85226
9/20/20,85239
9/21/20,85257
9/22/20,85275
9/23/20,85304
9/24/20,85323
9/25/20,85343
9/26/20,85360
9/27/20,85381
9/28/20,85398
9/29/20,85423
9/30/20,85460
10/1/20,85479
10/2/20,85494
10/3/20,85511
10/4/20,85530
10/5/20,85540
10/6/20,85566
10/7/20,85588
10/8/20,85612
10/9/20,85641
10/10/20,85658
10/11/20,85669
10/12/20,85690
10/13/20,85707
10/14/20,85720
10/15/20,85743
10/16/20,85762
10/17/20,85791
10/18/20,85819
10/19/20,85840
10/20/20,85873
10/21/20,85899
10/22/20,85929
10/23/20,85950
10/24/20,85974
10/25/20,86002
10/26/20,86018
10/27/20,86031
10/28/20,86049
10/29/20,86082
10/30/20,86111
10/31/20,86135
11/1/20,86162
11/2/20,86189
11/3/20,86212
11/4/20,86241
11/5/20,86264
11/6/20,86301
11/7/20,86344
11/8/20,86369
11/9/20,86393
11/10/20,86421
11/11/20,86451
11/12/20,86488
11/13/20,86518
11/14/20,86543
11/15/20,86572
11/16/20,86616
11/17/20,86667
11/18/20,86700
11/19/20,86727
11/20/20,86751
11/21/20,86769
11/22/20,86792
11/23/20,86816
11/24/20,86847
11/25/20,86888
11/26/20,86900
11/27/20,86937
11/28/20,86968
11/29/20,86998
11/30/20,87017
12/1/20,87051
12/2/20,87101
12/3/20,87147
12/4/20,87204
12/5/20,87259
12/6/20,87331
12/7/20,87404
12/8/20,87483
12/9/20,87582
12/10/20,87707
12/11/20,87815
12/12/20,87944
12/13/20,88041
12/14/20,88122
12/15/20,88211
12/16/20,88326
12/17/20,88429
12/18/20,88538
12/19/20,88666
12/20/20,88781
12/21/20,88861
12/22/20,88963
12/23/20,89104
12/24/20,89205
12/25/20,89330
12/26/20,89423
12/27/20,89518
12/28/20,89586
12/29/20,89697
12/30/20,89813
12/31/20,89923
1/1/21,90031
1/2/21,90099
1/3/21,90159
1/4/21,90213
1/5/21,90306
1/6/21,90400
1/7/21,90478
1/8/21,90543
1/9/21,90630
1/10/21,90697
1/11/21,90772
1/12/21,90857
1/13/21,90953
1/14/21,91026
1/15/21,91100
1/16/21,91158
1/17/21,91205
1/18/21,91263
1/19/21,91322
1/20/21,91382
1/21/21,91382
1/22/21,91526
1/23/21,91609
1/24/21,91709
1/25/21,91775
1/26/21,91920
1/27/21,92076
1/28/21,92223
1/29/21,92321
1/30/21,92622
1/31/21,92779
2/1/21,92891
2/2/21,93060
2/3/21,93280
2/4/21,93459
2/5/21,93606
2/6/21,93752
2/7/21,93883
2/8/21,93989
2/9/21,94147
2/10/21,94288
2/11/21,94413
2/12/21,94536
2/13/21,94641
2/14/21,94728
2/15/21,94796
2/16/21,94875
2/17/21,94960
2/18/21,95034
2/19/21,95110
2/20/21,95181
2/21/21,95241
2/22/21,95293
2/23/21,95332
2/24/21,95462
2/25/21,95518
2/26/21,95561
2/27/21,95605
2/28/21,95649
3/1/21,95681
3/2/21,95721
3/3/21,95755
3/4/21,95778
3/5/21,95804
3/6/21,95835
3/7/21,95851
3/8/21,95869
3/9/21,95903
3/10/21,95923
3/11/21,95951
3/12/21,95972
3/13/21,96011
3/14/21,96040
3/15/21,96060
3/16/21,96087
3/17/21,96123
3/18/21,96154
3/19/21,96173
3/20/21,96208
3/21/21,96231
3/22/21,96269
3/23/21,96314
3/24/21,96346
3/25/21,96390
3/26/21,96433
3/27/21,96452
3/28/21,96478
3/29/21,96504
3/30/21,96518
3/31/21,96537
4/1/21,96558
4/2/21,96583
4/3/21,96605
4/4/21,96619
4/5/21,96642
4/6/21,96660
4/7/21,96675
4/8/21,96693
4/9/21,96715
4/10/21,96729
4/11/21,96749
4/12/21,96768
4/13/21,96788
4/14/21,96809
4/15/21,96827
4/16/21,96839
4/17/21,96855
4/18/21,96877
4/19/21,96895
4/20/21,96935
4/21/21,96958
4/22/21,96989
4/23/21,97008
4/24/21,97033
4/25/21,97055
4/26/21,97070
4/27/21,97097
4/28/21,97123
4/29/21,97144
4/30/21,97175
5/1/21,97206
5/2/21,97232
5/3/21,97249
5/4/21,97266
5/5/21,97287
5/6/21,97312
5/7/21,97332
5/8/21,97357
5/9/21,97377
5/10/21,97390
5/11/21,97413
5/12/21,97435
5/13/21,97454
5/14/21,97479
5/15/21,97491
5/16/21,97519
5/17/21,97543
5/18/21,97560
5/19/21,97578
5/20/21,97596
5/21/21,97600
5/22/21,97621
5/23/21,97632
5/24/21,97656
5/25/21,97672
5/26/21,97685
5/27/21,97707
5/28/21,97726
5/29/21,97737
5/30/21,97756
5/31/21,97770
6/1/21,97788
6/2/21,97795
6/3/21,97813
6/4/21,97825
6/5/21,97854
6/6/21,97863
6/7/21,97890
6/8/21,97902
6/9/21,97923
6/10/21,97938
6/11/21,97956
6/12/21,97979
6/13/21,97993
6/14/21,98003
6/15/21,98020
6/16/21,98036
6/17/21,98051
6/18/21,98084
6/19/21,98104
6/20/21,98114
6/21/21,98148
6/22/21,98172
6/23/21,98211
6/24/21,98243
6/25/21,98280
6/26/21,98309
6/27/21,98331
6/28/21,98353
6/29/21,98368
6/30/21,98399
7/1/21,98420
7/2/21,98450
7/3/21,98468
7/4/21,98492
7/5/21,98527
7/6/21,98549
7/7/21,98579
7/8/21,98603
7/9/21,98619
7/10/21,98590
7/11/21,98660
7/12/21,98682
7/13/21,98700
7/14/21,98727
7/15/21,98739
7/16/21,98769
7/17/21,98796
7/18/21,98811
7/19/21,98837
