,0
7/10/20,4641
7/11/20,4641
7/12/20,4641
7/13/20,4641
7/14/20,4642
7/15/20,4644
7/16/20,4644
7/17/20,4645
7/18/20,4646
7/19/20,4646
7/20/20,4646
7/21/20,4648
7/22/20,4648
7/23/20,4649
7/24/20,4650
7/25/20,4652
7/26/20,4652
7/27/20,4656
7/28/20,4657
7/29/20,4658
7/30/20,4659
7/31/20,4661
8/1/20,4667
8/2/20,4669
8/3/20,4672
8/4/20,4676
8/5/20,4677
8/6/20,4680
8/7/20,4681
8/8/20,4681
8/9/20,4686
8/10/20,4689
8/11/20,4693
8/12/20,4697
8/13/20,4700
8/14/20,4701
8/15/20,4703
8/16/20,4703
8/17/20,4703
8/18/20,4705
8/19/20,4706
8/20/20,4709
8/21/20,4709
8/22/20,4711
8/23/20,4711
8/24/20,4711
8/25/20,4712
8/26/20,4713
8/27/20,4715
8/28/20,4718
8/29/20,4721
8/30/20,4722
8/31/20,4723
9/1/20,4724
9/2/20,4727
9/3/20,4728
9/4/20,4728
9/5/20,4728
9/6/20,4730
9/7/20,4732
9/8/20,4733
9/9/20,4733
9/10/20,4733
9/11/20,4733
9/12/20,4734
9/13/20,4734
9/14/20,4735
9/15/20,4736
9/16/20,4736
9/17/20,4736
9/18/20,4737
9/19/20,4737
9/20/20,4737
9/21/20,4737
9/22/20,4737
9/23/20,4738
9/24/20,4738
9/25/20,4739
9/26/20,4739
9/27/20,4739
9/28/20,4739
9/29/20,4739
9/30/20,4739
10/1/20,4739
10/2/20,4739
10/3/20,4739
10/4/20,4739
10/5/20,4739
10/6/20,4739
10/7/20,4739
10/8/20,4739
10/9/20,4739
10/10/20,4739
10/11/20,4739
10/12/20,4739
10/13/20,4739
10/14/20,4739
10/15/20,4739
10/16/20,4739
10/17/20,4739
10/18/20,4739
10/19/20,4739
10/20/20,4739
10/21/20,4739
10/22/20,4739
10/23/20,4739
10/24/20,4739
10/25/20,4739
10/26/20,4739
10/27/20,4739
10/28/20,4739
10/29/20,4739
10/30/20,4739
10/31/20,4739
11/1/20,4739
11/2/20,4739
11/3/20,4739
11/4/20,4740
11/5/20,4741
11/6/20,4741
11/7/20,4741
11/8/20,4741
11/9/20,4741
11/10/20,4742
11/11/20,4742
11/12/20,4742
11/13/20,4742
11/14/20,4742
11/15/20,4742
11/16/20,4742
11/17/20,4742
11/18/20,4742
11/19/20,4742
11/20/20,4742
11/21/20,4742
11/22/20,4742
11/23/20,4742
11/24/20,4742
11/25/20,4742
11/26/20,4742
11/27/20,4742
11/28/20,4743
11/29/20,4743
11/30/20,4743
12/1/20,4743
12/2/20,4744
12/3/20,4745
12/4/20,4746
12/5/20,4746
12/6/20,4746
12/7/20,4746
12/8/20,4746
12/9/20,4748
12/10/20,4748
12/11/20,4748
12/12/20,4749
12/13/20,4751
12/14/20,4754
12/15/20,4757
12/16/20,4757
12/17/20,4759
12/18/20,4763
12/19/20,4763
12/20/20,4764
12/21/20,4765
12/22/20,4766
12/23/20,4767
12/24/20,4769
12/25/20,4770
12/26/20,4770
12/27/20,4771
12/28/20,4775
12/29/20,4777
12/30/20,4781
12/31/20,4782
1/1/21,4782
1/2/21,4784
1/3/21,4784
1/4/21,4787
1/5/21,4787
1/6/21,4788
1/7/21,4788
1/8/21,4789
1/9/21,4791
1/10/21,4792
1/11/21,4793
1/12/21,4794
1/13/21,4796
1/14/21,4796
1/15/21,4796
1/16/21,4797
1/17/21,4797
1/18/21,4798
1/19/21,4800
1/20/21,4801
1/21/21,4803
1/22/21,4803
1/23/21,4803
1/24/21,4804
1/25/21,4807
1/26/21,4809
1/27/21,4811
1/28/21,4813
1/29/21,4814
1/30/21,4815
1/31/21,4817
2/1/21,4818
2/2/21,4820
2/3/21,4821
2/4/21,4822
2/5/21,4822
2/6/21,4822
2/7/21,4822
2/8/21,4822
2/9/21,4824
2/10/21,4825
2/11/21,4827
2/12/21,4828
2/13/21,4829
2/14/21,4829
2/15/21,4829
2/16/21,4831
2/17/21,4833
2/18/21,4833
2/19/21,4833
2/20/21,4833
2/21/21,4833
2/22/21,4833
2/23/21,4833
2/24/21,4834
2/25/21,4834
2/26/21,4834
2/27/21,4834
2/28/21,4835
3/1/21,4836
3/2/21,4836
3/3/21,4836
3/4/21,4837
3/5/21,4837
3/6/21,4838
3/7/21,4838
3/8/21,4838
3/9/21,4838
3/10/21,4839
3/11/21,4839
3/12/21,4839
3/13/21,4839
3/14/21,4839
3/15/21,4839
3/16/21,4839
3/17/21,4839
3/18/21,4839
3/19/21,4839
3/20/21,4839
3/21/21,4839
3/22/21,4839
3/23/21,4840
3/24/21,4840
3/25/21,4840
3/26/21,4841
3/27/21,4841
3/28/21,4841
3/29/21,4841
3/30/21,4841
3/31/21,4841
4/1/21,4841
4/2/21,4841
4/3/21,4841
4/4/21,4841
4/5/21,4841
4/6/21,4841
4/7/21,4841
4/8/21,4841
4/9/21,4843
4/10/21,4843
4/11/21,4843
4/12/21,4843
4/13/21,4844
4/14/21,4845
4/15/21,4845
4/16/21,4845
4/17/21,4845
4/18/21,4845
4/19/21,4845
4/20/21,4845
4/21/21,4845
4/22/21,4845
4/23/21,4845
4/24/21,4845
4/25/21,4845
4/26/21,4845
4/27/21,4845
4/28/21,4845
4/29/21,4845
4/30/21,4845
5/1/21,4846
5/2/21,4846
5/3/21,4846
5/4/21,4846
5/5/21,4846
5/6/21,4846
5/7/21,4846
5/8/21,4846
5/9/21,4846
5/10/21,4846
5/11/21,4846
5/12/21,4846
5/13/21,4846
5/14/21,4846
5/15/21,4846
5/16/21,4846
5/17/21,4846
5/18/21,4846
5/19/21,4846
5/20/21,4846
5/21/21,4846
5/22/21,4846
5/23/21,4846
5/24/21,4846
5/25/21,4846
5/26/21,4846
5/27/21,4846
5/28/21,4846
5/29/21,4846
5/30/21,4846
5/31/21,4846
6/1/21,4846
6/2/21,4846
6/3/21,4846
6/4/21,4846
6/5/21,4846
6/6/21,4846
6/7/21,4846
6/8/21,4846
6/9/21,4846
6/10/21,4846
6/11/21,4846
6/12/21,4846
6/13/21,4846
6/14/21,4846
6/15/21,4846
6/16/21,4846
6/17/21,4846
6/18/21,4846
6/19/21,4846
6/20/21,4846
6/21/21,4846
6/22/21,4846
6/23/21,4846
6/24/21,4846
6/25/21,4847
6/26/21,4846
6/27/21,4846
6/28/21,4846
6/29/21,4847
6/30/21,4847
7/1/21,4847
7/2/21,4847
7/3/21,4847
7/4/21,4847
7/5/21,4848
7/6/21,4848
7/7/21,4848
7/8/21,4848
7/9/21,4848
7/10/21,4848
7/11/21,4848
7/12/21,4848
7/13/21,4848
7/14/21,4848
7/15/21,4848
7/16/21,4848
7/17/21,4848
7/18/21,4848
7/19/21,4848
